problem,algorithm,best,mean,std,avg_time,avg_peak_kb
Sphere,PSO,2.221688e+01,2.354773e+01,1.330856e+00,6.963870e-02,2.478672e+02
Sphere,ABC,7.958384e+01,8.338756e+01,3.803720e+00,6.805225e-02,2.334102e+02
Sphere,FA,1.425841e+02,1.509970e+02,8.412845e+00,1.042738e+00,1.623828e+01
Sphere,CS,1.474321e+02,1.535619e+02,6.129778e+00,4.823300e-02,1.965039e+01
Sphere,GA,1.014127e+01,1.070874e+01,5.674672e-01,1.523642e-01,2.860156e+01
Sphere,DE,1.204549e+02,1.323239e+02,1.186901e+01,1.923134e-01,1.626562e+01
Sphere,SA,2.118226e+02,2.355916e+02,2.376902e+01,1.183850e-03,9.429688e+00
Sphere,HillClimb,9.139844e+01,1.125097e+02,2.111122e+01,1.912500e-02,2.766797e+01
Sphere,TLBO,5.786382e-04,9.201549e-04,3.415167e-04,9.640085e-02,1.748438e+01
Rastrigin,PSO,2.557009e+02,2.968039e+02,4.110305e+01,8.443420e-02,2.479233e+02
Rastrigin,ABC,3.664754e+02,3.734788e+02,7.003438e+00,7.025295e-02,2.332461e+02
Rastrigin,FA,3.774220e+02,3.783388e+02,9.168269e-01,1.155751e+00,1.622656e+01
Rastrigin,CS,3.819062e+02,3.845645e+02,2.658324e+00,6.185570e-02,1.950195e+01
Rastrigin,GA,1.302892e+02,1.678909e+02,3.760168e+01,1.482371e-01,2.855078e+01
Rastrigin,DE,3.652936e+02,3.969645e+02,3.167082e+01,2.009422e-01,1.626562e+01
Rastrigin,SA,4.083883e+02,4.289227e+02,2.053441e+01,1.589150e-03,9.429688e+00
Rastrigin,HillClimb,2.672521e+02,3.228920e+02,5.563995e+01,2.400000e-02,2.733594e+01
Rastrigin,TLBO,1.760969e+02,1.876242e+02,1.152730e+01,8.095005e-02,1.708984e+01
Rosenbrock,PSO,3.915421e+02,4.470411e+02,5.549896e+01,8.799370e-02,2.478516e+02
Rosenbrock,ABC,1.939912e+03,2.713675e+03,7.737632e+02,8.062810e-02,2.333398e+02
Rosenbrock,FA,4.139633e+03,4.425994e+03,2.863607e+02,1.285018e+00,1.622656e+01
Rosenbrock,CS,3.956602e+03,5.116959e+03,1.160357e+03,7.640320e-02,1.950195e+01
Rosenbrock,GA,1.679220e+02,2.106390e+02,4.271706e+01,1.539506e-01,2.860156e+01
Rosenbrock,DE,3.142101e+03,3.831831e+03,6.897302e+02,2.003159e-01,1.626562e+01
Rosenbrock,SA,7.017373e+03,8.904262e+03,1.886888e+03,2.260250e-03,9.429688e+00
Rosenbrock,HillClimb,1.428017e+02,3.174317e+02,1.746300e+02,3.035100e-02,2.759375e+01
Rosenbrock,TLBO,2.876743e+01,2.882301e+01,5.558177e-02,1.334613e-01,1.746094e+01
Griewank,PSO,5.601291e+01,6.586053e+01,9.847619e+00,9.328510e-02,2.482168e+02
Griewank,ABC,2.568428e+02,2.940363e+02,3.719349e+01,7.606995e-02,2.333750e+02
Griewank,FA,5.632225e+02,5.878843e+02,2.466179e+01,1.354601e+00,1.622656e+01
Griewank,CS,4.432950e+02,4.914814e+02,4.818641e+01,4.846215e-02,1.944336e+01
Griewank,GA,2.714841e+01,4.928624e+01,2.213783e+01,1.611540e-01,2.876172e+01
Griewank,DE,4.548787e+02,4.856544e+02,3.077569e+01,1.989195e-01,1.626562e+01
Griewank,SA,8.691473e+02,9.803021e+02,1.111548e+02,1.870100e-03,9.429688e+00
Griewank,HillClimb,7.977561e+02,9.293321e+02,1.315759e+02,3.036915e-02,2.760547e+01
Griewank,TLBO,1.734435e-01,3.273362e-01,1.538927e-01,1.339866e-01,1.750000e+01
Ackley,PSO,1.295515e+01,1.479171e+01,1.836561e+00,1.156058e-01,2.480386e+02
Ackley,ABC,2.010921e+01,2.012501e+01,1.580238e-02,9.095415e-02,2.333398e+02
Ackley,FA,2.034581e+01,2.042672e+01,8.091660e-02,1.506876e+00,1.622656e+01
Ackley,CS,2.030133e+01,2.042327e+01,1.219467e-01,9.023980e-02,1.956836e+01
Ackley,GA,1.155228e+01,1.201795e+01,4.656761e-01,1.713470e-01,2.871094e+01
Ackley,DE,2.021064e+01,2.032562e+01,1.149880e-01,2.141327e-01,1.626562e+01
Ackley,SA,2.115062e+01,2.121776e+01,6.713773e-02,2.172600e-03,9.429688e+00
Ackley,HillClimb,2.024573e+01,2.026551e+01,1.977953e-02,3.902905e-02,2.728516e+01
Ackley,TLBO,9.712558e-02,1.049363e-01,7.810696e-03,1.599423e-01,1.741016e+01
